Year,Name,Frequency,Rank
1980,Everett,4,407
1980,Felix,4,407
1980,Francois,4,407
1980,Garnet,4,407
1980,Harpreet,4,407
1980,Harry,4,407
1980,Hassan,4,407
1980,Heath,4,407
1980,Jaime,4,407
1980,Jake,4,407
1980,Jarod,4,407
1980,Jeff,4,407
1980,Jens,4,407
1980,Jerome,4,407
1980,Joesph,4,407
1980,Jordie,4,407
1980,Jose,4,407
1980,Kai,4,407
1980,Ken,4,407
1980,Kristoffer,4,407
1980,Leigh,4,407
1980,Lenny,4,407
1980,Marty,4,407
1980,Max,4,407
1980,Mohamad,4,407
1980,Mohammed,4,407
1980,Omar,4,407
1980,Percy,4,407
1980,Quinn,4,407
1980,Rahim,4,407
1980,Ravinder,4,407
1980,Reed,4,407
1980,Robby,4,407
1980,Roberto,4,407
1980,Robyn,4,407
1980,Rocky,4,407
1980,Rodger,4,407
1980,Ryley,4,407
1980,Samir,4,407
1980,Sherman,4,407
1980,Tarek,4,407
1980,Trever,4,407
1980,Weston,4,407
1980,Ace,3,469
1980,Alex,3,469
1980,Alistair,3,469
1980,Aman,3,469
1980,Amit,3,469
1980,Anil,3,469
1980,Anton,3,469
1980,Ayman,3,469
1980,Benson,3,469
1980,Bjorn,3,469
1980,Brennan,3,469
1980,Bret,3,469
1980,Brooke,3,469
1980,Burke,3,469
1980,Burton,3,469
1980,Carey,3,469
1980,Carson,3,469
1980,Cary,3,469
1980,Che,3,469
1980,Chester,3,469
1980,Cordell,3,469
1980,Cristopher,3,469
1980,Dalton,3,469
1980,Darius,3,469
1980,Dereck,3,469
1980,Derick,3,469
1980,Domenico,3,469
1980,Draper,3,469
1980,Edmund,3,469
1980,Emmanuel,3,469
1980,Errol,3,469
1980,Ethan,3,469
1980,Fabian,3,469
1980,Faron,3,469
1980,Fredrick,3,469
1980,Gaetan,3,469
1980,Gareth,3,469
1980,Garret,3,469
1980,Geoffery,3,469
1980,Giovanni,3,469
1980,Grayson,3,469
1980,Greggory,3,469
1980,Hayden,3,469
1980,Hugh,3,469
1980,Jagdeep,3,469
1980,Jamieson,3,469
1980,Jarett,3,469
1980,Jaron,3,469
1980,Jarrad,3,469
1980,Jarret,3,469
1980,Jayme,3,469
1980,Jean-Paul,3,469
1980,Jeffry,3,469
1980,Jerad,3,469
1980,Jeremey,3,469
1980,Jermaine,3,469
1980,Jerrad,3,469
1980,Jerrett,3,469
1980,Jess,3,469
1980,Johnny,3,469
1980,Jordy,3,469
1980,Juan,3,469
1980,Julian,3,469
1980,Khaled,3,469
1980,Kieran,3,469
1980,Kristen,3,469
1980,Kristjan,3,469
1980,Kristofor,3,469
1980,Kylie,3,469
1980,Lanny,3,469
1980,Lars,3,469
1980,Lindsey,3,469
1980,Long,3,469
1980,Lonnie,3,469
1980,Lonny,3,469
1980,Marko,3,469
1980,Marlin,3,469
1980,Maurice,3,469
1980,Maury,3,469
1980,Maxwell,3,469
1980,Merle,3,469
1980,Mikhael,3,469
1980,Milan,3,469
1980,Niall,3,469
1980,Nick,3,469
1980,Nikolas,3,469
1980,Noah,3,469
1980,Oscar,3,469
1980,Pasquale,3,469
1980,Quang,3,469
1980,Ralph,3,469
1980,Ramon,3,469
1980,Real,3,469
1980,Reginald,3,469
1980,Roland,3,469
1980,Ronny,3,469
1980,Scot,3,469
1980,Sebastian,3,469
1980,Stephan,3,469
1980,Sterling,3,469
1980,Sylvain,3,469
1980,Ted,3,469
1980,Tex,3,469
1980,Tod,3,469
1980,Tomas,3,469
1980,Ty,3,469
1980,Tyrell,3,469
1980,Wallace,3,469
1980,Winston,3,469
1980,Ziad,3,469
1980,Alaric,2,579
1980,Aleksandar,2,579
1980,Alexandre,2,579
1980,Alexis,2,579
1980,Amardeep,2,579
1980,Angelo,2,579
1980,Anson,2,579
1980,Aric,2,579
1980,Arlen,2,579
1980,Arlo,2,579
1980,Armin,2,579
1980,Aron,2,579
1980,Arvind,2,579
1980,Asad,2,579
1980,Aubrey,2,579
1980,Axel,2,579
1980,Ayaz,2,579
1980,Balraj,2,579
1980,Barrett,2,579
1980,Barrie,2,579
1980,Bart,2,579
1980,Benton,2,579
1980,Bernhard,2,579
1980,Bilal,2,579
1980,Bill,2,579
1980,Billy-Joe,2,579
1980,Blayne,2,579
1980,Blue,2,579
1980,Bo,2,579
1980,Bradford,2,579
1980,Brandan,2,579
1980,Branden,2,579
